               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12233,             0.04591,             0.11352,          0.00015188,           0.0084074,          0.00010916,          3.8921e-05,             0.11788,            0.038621,              0.1143,              0.0901,              0.0011,              0.0011
                   1,             0.11191,              0.0546,             0.10899,          0.00085928,            0.022374,          0.00064744,          0.00015772,             0.10441,            0.041434,             0.10891,            0.079243,           0.0022431,           0.0022431
                   2,            0.098309,            0.057443,             0.10342,           0.0029428,             0.17145,            0.011911,            0.003473,             0.09392,            0.042104,             0.10113,            0.068327,           0.0033267,           0.0033267
                   3,            0.088789,            0.066921,            0.095169,           0.0048391,             0.10202,            0.011483,           0.0043768,             0.08456,            0.044643,            0.090547,            0.057351,            0.004351,            0.004351
                   4,            0.083335,            0.056845,            0.087437,            0.017654,            0.042292,           0.0077503,           0.0025475,            0.085726,            0.038859,            0.084195,            0.046316,           0.0053159,           0.0053159
                   5,            0.079847,            0.048079,             0.08424,             0.38865,            0.021283,            0.015145,           0.0059561,            0.079206,            0.035076,            0.081009,            0.035221,           0.0062214,           0.0062214
                   6,            0.076499,             0.05094,            0.077748,             0.90981,            0.015724,            0.019033,           0.0080524,            0.080709,            0.032927,            0.077323,            0.024067,           0.0070674,           0.0070674
                   7,            0.076346,            0.045611,            0.073845,             0.84217,            0.019755,            0.032183,            0.018857,            0.072051,            0.030998,            0.074114,            0.012854,           0.0078541,           0.0078541
                   8,            0.073531,            0.045424,            0.074767,             0.93193,             0.02574,            0.033231,            0.014402,            0.075803,            0.029907,             0.07161,             0.00802,             0.00802,             0.00802
                   9,            0.072155,            0.046591,            0.066706,             0.95621,            0.034092,            0.049412,            0.018875,            0.065988,            0.030467,            0.069357,             0.00802,             0.00802,             0.00802
                  10,            0.067969,            0.043163,            0.068195,             0.57105,            0.055194,            0.054368,            0.027129,             0.06369,            0.029066,            0.067007,           0.0077725,           0.0077725,           0.0077725
                  11,            0.064753,            0.046917,            0.067753,              0.6749,            0.063942,            0.075929,            0.035874,            0.060917,            0.029278,            0.064784,            0.007525,            0.007525,            0.007525
                  12,            0.062039,            0.042826,            0.064522,             0.59508,            0.065747,            0.063029,            0.030355,            0.061906,            0.029493,            0.062911,           0.0072775,           0.0072775,           0.0072775
                  13,            0.061235,            0.043506,            0.063028,             0.69329,            0.081843,            0.085234,            0.040272,            0.058354,            0.027868,            0.061197,             0.00703,             0.00703,             0.00703
                  14,            0.059282,            0.041625,            0.061424,             0.70077,            0.093177,            0.088765,             0.04506,            0.056775,            0.026846,              0.0597,           0.0067825,           0.0067825,           0.0067825
                  15,            0.057259,              0.0422,             0.06302,              0.8129,            0.094016,             0.10942,            0.060041,            0.054957,            0.026017,            0.058246,            0.006535,            0.006535,            0.006535
                  16,            0.056527,            0.041755,            0.060301,             0.79571,             0.09896,              0.1231,            0.064325,            0.052311,            0.025432,            0.056961,           0.0062875,           0.0062875,           0.0062875
                  17,            0.056314,            0.041438,            0.055892,             0.78467,              0.1062,              0.1225,            0.066482,            0.050099,            0.025263,            0.055726,             0.00604,             0.00604,             0.00604
                  18,            0.053975,            0.041679,            0.053862,             0.77132,             0.11547,             0.13443,            0.072411,            0.053122,            0.024773,            0.054631,           0.0057925,           0.0057925,           0.0057925
                  19,            0.054553,            0.042419,             0.05722,             0.83192,             0.11009,              0.1452,            0.077888,            0.048368,            0.024522,            0.053641,            0.005545,            0.005545,            0.005545
                  20,            0.052151,            0.039523,            0.054197,             0.80874,             0.11339,             0.13867,            0.074251,            0.048403,             0.02424,            0.052568,           0.0052975,           0.0052975,           0.0052975
                  21,            0.050424,            0.038691,            0.053231,             0.84057,             0.12021,             0.15771,            0.092123,            0.047001,            0.023787,            0.051642,             0.00505,             0.00505,             0.00505
                  22,            0.050474,            0.036825,            0.053404,             0.83023,             0.12015,             0.16335,            0.093609,            0.047286,            0.023553,            0.050771,           0.0048025,           0.0048025,           0.0048025
                  23,            0.049449,            0.039804,            0.052811,             0.84825,             0.12056,             0.17726,             0.10063,            0.046274,            0.023532,            0.050016,            0.004555,            0.004555,            0.004555
                  24,            0.049196,            0.037204,            0.049733,             0.86948,             0.12992,             0.19194,             0.10853,            0.045583,            0.023011,            0.049207,           0.0043075,           0.0043075,           0.0043075
                  25,            0.047985,            0.038492,            0.049676,             0.84808,             0.13736,             0.20096,             0.11788,             0.04415,            0.022563,            0.048413,             0.00406,             0.00406,             0.00406
                  26,            0.045779,            0.037968,            0.048617,             0.85343,              0.1556,             0.21741,              0.1309,            0.042303,            0.022521,            0.047664,           0.0038125,           0.0038125,           0.0038125
                  27,            0.047149,            0.039812,            0.050176,             0.84318,             0.16131,             0.21143,             0.12495,            0.041139,             0.02208,            0.046892,            0.003565,            0.003565,            0.003565
                  28,            0.045237,            0.035043,            0.049168,             0.84653,             0.16955,             0.23244,             0.14023,            0.040978,            0.022028,            0.046092,           0.0033175,           0.0033175,           0.0033175
                  29,            0.043407,            0.036111,             0.04685,             0.82096,             0.17248,             0.24007,             0.14237,            0.041007,            0.021949,            0.045469,             0.00307,             0.00307,             0.00307
                  30,            0.043673,            0.037241,            0.046452,             0.82176,             0.17878,             0.24639,             0.15299,            0.039789,            0.021997,            0.044909,           0.0028225,           0.0028225,           0.0028225
                  31,            0.042599,            0.036695,            0.045273,             0.83965,             0.17082,             0.24054,             0.14962,            0.039245,             0.02168,            0.044389,            0.002575,            0.002575,            0.002575
                  32,            0.042896,            0.035544,            0.047033,             0.83549,             0.19794,             0.27846,             0.18272,             0.03843,            0.021414,            0.043901,           0.0023275,           0.0023275,           0.0023275
                  33,            0.042158,            0.032496,             0.04774,             0.85602,             0.20243,             0.28687,             0.19166,            0.037424,            0.021178,            0.043449,             0.00208,             0.00208,             0.00208
                  34,            0.042147,            0.039925,            0.046247,             0.84625,             0.20334,             0.27023,              0.1725,            0.038041,            0.021331,            0.043059,           0.0018325,           0.0018325,           0.0018325
                  35,             0.04198,              0.0375,            0.044826,             0.84877,             0.20071,             0.28426,             0.18909,            0.036497,            0.021053,             0.04271,            0.001585,            0.001585,            0.001585
                  36,            0.041331,            0.034231,            0.043851,             0.85996,             0.21699,             0.30677,             0.20546,            0.036128,            0.020943,            0.042389,           0.0013375,           0.0013375,           0.0013375
